date,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2022-01-28,0.818,0.697,0.819,0.683,3741939,1117761038.0,16.71,-14.37,-0.117,1.71
2022-02-28,0.718,0.676,0.739,0.648,3291384,912658573.0,13.06,-3.01,-0.021,1.5
2022-03-31,0.69,0.748,0.756,0.627,5892205,1629784583.0,19.08,10.65,0.072,2.69
2022-04-29,0.736,0.685,0.739,0.663,9750325,2701557543.0,10.16,-8.42,-0.063,4.46
2022-05-31,0.693,0.651,0.697,0.608,21632276,5523708585.0,12.99,-4.96,-0.034,9.88
2022-06-30,0.653,0.596,0.654,0.579,38417502,9314277583.0,11.52,-8.45,-0.055,17.55
2022-07-29,0.595,0.671,0.674,0.59,131934761,9066801907.653,14.09,12.58,0.075,60.28
2022-08-31,0.671,0.658,0.715,0.658,160485916,10971552957.01,8.49,-1.94,-0.013,73.33
2022-09-30,0.646,0.615,0.682,0.61,171490659,10971774862.883,10.94,-6.53,-0.043,78.36
2022-10-31,0.605,0.644,0.644,0.593,125194963,7710603664.528,8.29,4.72,0.029,57.2
2022-11-30,0.642,0.636,0.656,0.6,184520651,11621412646.589,8.7,-1.24,-0.008,84.31
2022-12-30,0.655,0.6,0.656,0.594,139023926,8643975581.727,9.75,-5.66,-0.036,63.52
2023-01-31,0.599,0.624,0.639,0.594,115001515,7015239706.635,7.5,4.0,0.024,52.55
2023-02-28,0.632,0.644,0.672,0.631,130123122,8484466533.526,6.57,3.21,0.02,59.46
2023-03-31,0.64,0.684,0.688,0.629,163746358,10723401890.976,9.16,6.21,0.04,74.82
2023-04-28,0.693,0.695,0.696,0.677,69196013,4752230454.086,2.78,1.61,0.011,31.62
2023-05-31,0.69,0.777,0.782,0.688,90348379,6678072350.165,13.53,11.8,0.082,41.28
2023-06-30,0.775,0.828,0.831,0.772,119724472,9656882491.953,7.59,6.56,0.051,54.7
2023-07-31,0.84,0.867,0.877,0.827,131423960,11191686396.494,6.04,4.71,0.039,60.05
2023-08-31,0.869,0.86,0.871,0.814,167354054,14056167004.382,6.57,-0.81,-0.007,76.47
2023-09-28,0.859,0.814,0.866,0.812,117396677,9901127693.114,6.28,-5.35,-0.046,53.64
2023-10-31,0.828,0.794,0.855,0.79,116922874,9569038006.914,7.99,-2.46,-0.02,53.42
2023-11-30,0.8,0.871,0.879,0.799,98609666,8410375595.511,10.08,9.7,0.077,45.06
2023-12-29,0.866,0.914,0.92,0.857,106241877,9537442835.172,7.23,4.94,0.043,48.54
2024-01-31,0.911,0.952,0.976,0.885,158870935,14828938854.506,9.96,4.16,0.038,72.59
2024-02-29,0.941,0.978,0.998,0.94,87532510,8536564923.84,6.09,2.73,0.026,40.0
2024-03-29,0.989,1.005,1.012,0.983,113340182,11318435464.062,2.97,2.76,0.027,51.79
2024-04-30,1.012,0.978,1.013,0.941,141245287,13766598043.418,7.16,-2.69,-0.027,64.54
2024-05-31,0.98,1.019,1.041,0.978,104055230,10574925031.474,6.44,4.19,0.041,47.54
2024-06-28,1.024,1.107,1.109,1.021,118934689,12813763705.03,8.64,8.64,0.088,54.34
2024-07-31,1.101,1.073,1.165,1.053,284248155,31760992366.897,10.12,-3.07,-0.034,129.88
2024-08-30,1.098,1.066,1.108,0.948,296643693,30994684548.479,14.91,-0.65,-0.007,135.54
2024-09-30,1.074,1.064,1.091,1.006,214849479,22640273068.726,7.97,-0.19,-0.002,98.17
2024-10-31,1.045,1.099,1.121,1.04,170172896,18631846399.089,7.61,3.29,0.035,77.75
2024-11-29,1.081,1.154,1.165,1.08,200921801,22794581011.407,7.73,5.0,0.055,91.8
2024-12-31,1.161,1.231,1.275,1.158,228837537,28115288064.967,10.14,6.67,0.077,104.56
2025-01-27,1.229,1.229,1.294,1.211,186343648,23313421188.163,6.74,-0.16,-0.002,85.14
2025-02-28,1.23,1.134,1.248,1.133,140764089,16964738155.38,9.36,-7.73,-0.095,64.32
2025-03-31,1.147,1.065,1.161,1.055,299705327,33112845843.623,9.35,-6.08,-0.069,136.94
2025-04-30,1.072,1.094,1.104,0.949,311950742,32717709401.978,14.55,2.72,0.029,142.54
2025-05-30,1.112,1.172,1.198,1.1,193104876,22303031068.949,8.96,7.13,0.078,88.23
2025-06-30,1.18,1.226,1.228,1.163,151944332,18028579345.544,5.55,4.61,0.054,69.43
2025-07-31,1.228,1.279,1.28,1.213,150261237,18625126721.427,5.46,4.32,0.053,68.66
2025-08-29,1.255,1.271,1.295,1.233,153085812,19436474761.578,4.85,-0.63,-0.008,69.95
2025-09-02,1.262,1.258,1.263,1.252,15363290,1930460712.325,0.87,-1.02,-0.013,7.02
